name,runtime,size,n_processors,nodes
ludcmp-blas,0.075216,1024,32,1
ludcmp-blas,0.056189,1024,32,1
ludcmp-blas,0.055338,1024,32,1
ludcmp-blas,0.069275,1024,32,1
ludcmp-blas,0.059185,1024,32,1
ludcmp-blas,0.055262,1024,32,1
ludcmp-blas,0.060508,1024,32,1
ludcmp-blas,0.056639,1024,32,1
ludcmp-blas,0.057661,1024,32,1
ludcmp-blas,0.059101,1024,32,1
ludcmp-blas,0.453402,2048,32,1
ludcmp-blas,0.470695,2048,32,1
ludcmp-blas,0.366462,2048,32,1
ludcmp-blas,0.466546,2048,32,1
ludcmp-blas,0.356133,2048,32,1
ludcmp-blas,0.360111,2048,32,1
ludcmp-blas,0.465948,2048,32,1
ludcmp-blas,0.403186,2048,32,1
ludcmp-blas,0.367525,2048,32,1
ludcmp-blas,0.473486,2048,32,1
ludcmp-blas,2.507223,4096,32,1
ludcmp-blas,2.932769,4096,32,1
ludcmp-blas,2.754719,4096,32,1
ludcmp-blas,3.035187,4096,32,1
ludcmp-blas,2.185844,4096,32,1
ludcmp-blas,1.615229,4096,32,1
ludcmp-blas,2.646146,4096,32,1
ludcmp-blas,2.983615,4096,32,1
ludcmp-blas,2.161298,4096,32,1
ludcmp-blas,1.596454,4096,32,1
ludcmp-blas,13.269852,8192,32,1
ludcmp-blas,14.121251,8192,32,1
ludcmp-blas,13.771969,8192,32,1
ludcmp-blas,14.364509,8192,32,1
ludcmp-blas,13.909699,8192,32,1
ludcmp-blas,14.582323,8192,32,1
ludcmp-blas,13.567756,8192,32,1
ludcmp-blas,17.431757,8192,32,1
ludcmp-blas,15.249536,8192,32,1
ludcmp-blas,12.481297,8192,32,1
ludcmp-blas,86.751906,16384,32,1
ludcmp-blas,89.298099,16384,32,1
ludcmp-blas,85.867479,16384,32,1
ludcmp-blas,94.060697,16384,32,1
ludcmp-blas,88.708399,16384,32,1
ludcmp-blas,82.394695,16384,32,1
ludcmp-blas,88.240605,16384,32,1
ludcmp-blas,86.526879,16384,32,1
ludcmp-blas,91.921834,16384,32,1
