name,runtime,size,n_processors,nodes
ludcmp-blas,0.081172,1024,8,1
ludcmp-blas,0.059192,1024,8,1
ludcmp-blas,0.05889,1024,8,1
ludcmp-blas,0.059393,1024,8,1
ludcmp-blas,0.059464,1024,8,1
ludcmp-blas,0.057569,1024,8,1
ludcmp-blas,0.058264,1024,8,1
ludcmp-blas,0.05769,1024,8,1
ludcmp-blas,0.059947,1024,8,1
ludcmp-blas,0.058814,1024,8,1
ludcmp-blas,0.358721,2048,8,1
ludcmp-blas,0.361405,2048,8,1
ludcmp-blas,0.359649,2048,8,1
ludcmp-blas,0.357493,2048,8,1
ludcmp-blas,0.350483,2048,8,1
ludcmp-blas,0.303196,2048,8,1
ludcmp-blas,0.292698,2048,8,1
ludcmp-blas,0.293426,2048,8,1
ludcmp-blas,0.292945,2048,8,1
ludcmp-blas,0.292663,2048,8,1
ludcmp-blas,2.222653,4096,8,1
ludcmp-blas,2.206788,4096,8,1
ludcmp-blas,1.820477,4096,8,1
ludcmp-blas,1.818798,4096,8,1
ludcmp-blas,1.821196,4096,8,1
ludcmp-blas,1.827488,4096,8,1
ludcmp-blas,1.816526,4096,8,1
ludcmp-blas,2.226292,4096,8,1
ludcmp-blas,2.213588,4096,8,1
ludcmp-blas,1.811961,4096,8,1
ludcmp-blas,13.302675,8192,8,1
ludcmp-blas,12.557284,8192,8,1
ludcmp-blas,12.176619,8192,8,1
ludcmp-blas,12.616274,8192,8,1
ludcmp-blas,12.225165,8192,8,1
ludcmp-blas,12.218858,8192,8,1
ludcmp-blas,12.233921,8192,8,1
ludcmp-blas,12.199469,8192,8,1
ludcmp-blas,12.580382,8192,8,1
ludcmp-blas,12.210272,8192,8,1
ludcmp-blas,97.689769,16384,8,1
ludcmp-blas,97.756226,16384,8,1
ludcmp-blas,97.632647,16384,8,1
ludcmp-blas,97.18422,16384,8,1
ludcmp-blas,97.019548,16384,8,1
ludcmp-blas,98.162088,16384,8,1
ludcmp-blas,97.407143,16384,8,1
ludcmp-blas,97.411282,16384,8,1
ludcmp-blas,97.646504,16384,8,1
ludcmp-blas,97.352113,16384,8,1
ludcmp-blocking-openmp-fma,0.048224,1024,8,1
ludcmp-blocking-openmp-fma,0.047703,1024,8,1
ludcmp-blocking-openmp-fma,0.04844,1024,8,1
ludcmp-blocking-openmp-fma,0.047818,1024,8,1
ludcmp-blocking-openmp-fma,0.047467,1024,8,1
ludcmp-blocking-openmp-fma,0.045731,1024,8,1
ludcmp-blocking-openmp-fma,0.049958,1024,8,1
ludcmp-blocking-openmp-fma,0.04563,1024,8,1
ludcmp-blocking-openmp-fma,0.046555,1024,8,1
ludcmp-blocking-openmp-fma,0.048551,1024,8,1
ludcmp-blocking-openmp-fma,0.331602,2048,8,1
ludcmp-blocking-openmp-fma,0.330227,2048,8,1
ludcmp-blocking-openmp-fma,0.294728,2048,8,1
ludcmp-blocking-openmp-fma,0.279388,2048,8,1
ludcmp-blocking-openmp-fma,0.276531,2048,8,1
ludcmp-blocking-openmp-fma,0.282885,2048,8,1
ludcmp-blocking-openmp-fma,0.273722,2048,8,1
ludcmp-blocking-openmp-fma,0.272533,2048,8,1
ludcmp-blocking-openmp-fma,0.229651,2048,8,1
ludcmp-blocking-openmp-fma,0.227629,2048,8,1
ludcmp-blocking-openmp-fma,2.00429,4096,8,1
ludcmp-blocking-openmp-fma,1.731458,4096,8,1
ludcmp-blocking-openmp-fma,1.724775,4096,8,1
ludcmp-blocking-openmp-fma,1.726259,4096,8,1
ludcmp-blocking-openmp-fma,1.731453,4096,8,1
ludcmp-blocking-openmp-fma,1.726878,4096,8,1
ludcmp-blocking-openmp-fma,1.727529,4096,8,1
ludcmp-blocking-openmp-fma,1.729073,4096,8,1
ludcmp-blocking-openmp-fma,1.72576,4096,8,1
ludcmp-blocking-openmp-fma,1.728629,4096,8,1
ludcmp-blocking-openmp-fma,14.046461,8192,8,1
ludcmp-blocking-openmp-fma,13.862444,8192,8,1
ludcmp-blocking-openmp-fma,13.856261,8192,8,1
ludcmp-blocking-openmp-fma,13.860599,8192,8,1
ludcmp-blocking-openmp-fma,13.857529,8192,8,1
ludcmp-blocking-openmp-fma,13.860949,8192,8,1
ludcmp-blocking-openmp-fma,13.868011,8192,8,1
ludcmp-blocking-openmp-fma,13.869313,8192,8,1
ludcmp-blocking-openmp-fma,13.855731,8192,8,1
ludcmp-blocking-openmp-fma,13.860979,8192,8,1
ludcmp-blocking-openmp-fma,111.917606,16384,8,1
ludcmp-blocking-openmp-fma,111.763148,16384,8,1
ludcmp-blocking-openmp-fma,111.815197,16384,8,1
ludcmp-blocking-openmp-fma,111.718362,16384,8,1
ludcmp-blocking-openmp-fma,112.356454,16384,8,1
ludcmp-blocking-openmp-fma,111.746586,16384,8,1
ludcmp-blocking-openmp-fma,111.836609,16384,8,1
ludcmp-blocking-openmp-fma,111.82092,16384,8,1
ludcmp-blocking-openmp-fma,111.848638,16384,8,1
ludcmp-blocking-openmp-fma,111.751292,16384,8,1
ludcmp-blocking-openmp,0.113419,1024,8,1
ludcmp-blocking-openmp,0.113374,1024,8,1
ludcmp-blocking-openmp,0.11434,1024,8,1
ludcmp-blocking-openmp,0.11657,1024,8,1
ludcmp-blocking-openmp,0.113443,1024,8,1
ludcmp-blocking-openmp,0.115506,1024,8,1
ludcmp-blocking-openmp,0.112994,1024,8,1
ludcmp-blocking-openmp,0.114251,1024,8,1
ludcmp-blocking-openmp,0.116266,1024,8,1
ludcmp-blocking-openmp,0.114778,1024,8,1
ludcmp-blocking-openmp,0.834147,2048,8,1
ludcmp-blocking-openmp,0.703493,2048,8,1
ludcmp-blocking-openmp,0.587193,2048,8,1
ludcmp-blocking-openmp,0.582735,2048,8,1
ludcmp-blocking-openmp,0.582667,2048,8,1
ludcmp-blocking-openmp,0.579882,2048,8,1
ludcmp-blocking-openmp,0.576604,2048,8,1
ludcmp-blocking-openmp,0.581072,2048,8,1
ludcmp-blocking-openmp,0.585064,2048,8,1
ludcmp-blocking-openmp,0.581979,2048,8,1
ludcmp-blocking-openmp,4.642932,4096,8,1
ludcmp-blocking-openmp,4.514008,4096,8,1
ludcmp-blocking-openmp,4.515558,4096,8,1
ludcmp-blocking-openmp,4.510183,4096,8,1
ludcmp-blocking-openmp,4.511519,4096,8,1
ludcmp-blocking-openmp,4.511365,4096,8,1
ludcmp-blocking-openmp,4.510279,4096,8,1
ludcmp-blocking-openmp,4.511362,4096,8,1
ludcmp-blocking-openmp,4.515837,4096,8,1
ludcmp-blocking-openmp,4.512155,4096,8,1
ludcmp-blocking-openmp,35.38114,8192,8,1
ludcmp-blocking-openmp,35.299456,8192,8,1
ludcmp-blocking-openmp,35.290446,8192,8,1
ludcmp-blocking-openmp,35.309436,8192,8,1
ludcmp-blocking-openmp,35.150359,8192,8,1
ludcmp-blocking-openmp,35.281592,8192,8,1
ludcmp-blocking-openmp,35.276644,8192,8,1
ludcmp-blocking-openmp,35.297786,8192,8,1
ludcmp-blocking-openmp,35.153307,8192,8,1
ludcmp-blocking-openmp,35.280661,8192,8,1
ludcmp-blocking-openmp,278.156004,16384,8,1
ludcmp-blocking-openmp,278.848936,16384,8,1
ludcmp-blocking-openmp,277.999773,16384,8,1
ludcmp-blocking-openmp,278.191814,16384,8,1
ludcmp-blocking-openmp,278.088395,16384,8,1
ludcmp-blocking-openmp,278.165105,16384,8,1
ludcmp-blocking-openmp,278.27516,16384,8,1
ludcmp-blocking-openmp,278.158616,16384,8,1
ludcmp-blocking-openmp,278.076808,16384,8,1
ludcmp-blocking-openmp,277.964294,16384,8,1
